institution_id,institution_name,area,year,pub_count,adjusted_count
https://openalex.org/I178968375,Hong Kong Chu Hai College,powerelec,2025,1,0.33333
https://openalex.org/I4210108723,Changzhou Institute of Technology,powerelec,2025,1,0.33333
https://openalex.org/I10457146,Universidad de Santiago de Chile,powerelec,2025,1,0.33333
https://openalex.org/I176861719,University of Shahrood,powerelec,2025,1,0.33333
https://openalex.org/I124841900,Xuzhou University of Technology,powerelec,2025,1,0.33333
https://openalex.org/I921990950,University of Colorado Denver,powerelec,2025,1,0.33333
https://openalex.org/I17866349,Université Fédérale de Toulouse Midi-Pyrénées,powerelec,2025,1,0.33333
https://openalex.org/I4210148195,Concordia University,powerelec,2025,1,0.33333
https://openalex.org/I26604189,Shiv Nadar University,powerelec,2025,1,0.33333
https://openalex.org/I177969490,University of Southern Denmark,powerelec,2025,1,0.33333
https://openalex.org/I206895457,University of Siegen,powerelec,2025,1,0.33333
https://openalex.org/I177969490,University of Southern Denmark,powerelec,2026,1,0.33333
https://openalex.org/I130343225,Universiti Putra Malaysia,powerelec,2026,1,0.33333
https://openalex.org/I113409471,Kumoh National Institute of Technology,powerelec,2026,1,0.33333
https://openalex.org/I145808223,Hanbat National University,powerelec,2026,1,0.33333
https://openalex.org/I1456306,North China University of Technology,powerelec,2026,1,0.33333
https://openalex.org/I27837315,University of Michigan,powerelec,2026,1,0.33333
https://openalex.org/I111112146,Tallinn University of Technology,powerelec,2026,1,0.33333
https://openalex.org/I39244652,"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",powerelec,2026,1,0.33333
https://openalex.org/I132586189,Zhongyuan University of Technology,powerelec,2026,1,0.33333
https://openalex.org/I1315279114,Zhejiang Wanli University,powerelec,2026,1,0.33333
https://openalex.org/I119241673,Indian Institute of Technology Ropar,power,2016,1,0.33333
https://openalex.org/I38476204,Urmia University,power,2016,1,0.33333
https://openalex.org/I139264467,Seoul National University,power,2016,1,0.33333
https://openalex.org/I74656192,University of Göttingen,power,2016,1,0.33333
https://openalex.org/I180923762,University of Cologne,power,2016,1,0.33333
https://openalex.org/I41641357,Ege University,power,2016,1,0.33333
https://openalex.org/I193615760,Dokuz Eylül University,power,2016,1,0.33333
https://openalex.org/I4210111188,Universidade Paulista,power,2016,1,0.33333
https://openalex.org/I86958956,Ferdowsi University of Mashhad,power,2016,1,0.33333
https://openalex.org/I100005738,Brigham Young University,power,2016,1,0.33333
https://openalex.org/I170726198,University of Novi Sad,power,2016,1,0.33333
https://openalex.org/I121934306,Tufts University,power,2016,1,0.33333
https://openalex.org/I130823665,Ural Federal University,power,2016,1,0.33333
https://openalex.org/I195939026,Glasgow Caledonian University,power,2016,1,0.33333
https://openalex.org/I126477371,Mohammed V University,power,2016,1,0.33333
https://openalex.org/I127336678,Ecole Mohammadia d'Ingénieurs,power,2016,1,0.33333
https://openalex.org/I32725510,Universidade Federal de Mato Grosso,power,2016,1,0.33333
https://openalex.org/I47327664,Universidade Federal do Maranhão,power,2016,1,0.33333
https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals,power,2017,1,0.33333
https://openalex.org/I31944674,Universidad de Costa Rica,power,2017,1,0.33333
https://openalex.org/I151221077,Chung Yuan Christian University,power,2017,1,0.33333
https://openalex.org/I80143920,Shandong University of Science and Technology,power,2017,1,0.33333
https://openalex.org/I194028371,University of Regina,power,2017,1,0.33333
https://openalex.org/I108103353,Universidad de Valladolid,power,2017,1,0.33333
https://openalex.org/I67415387,Lancaster University,power,2017,1,0.33333
https://openalex.org/I99043593,Macquarie University,power,2017,1,0.33333
https://openalex.org/I59270414,Indian Institute of Science Bangalore,power,2017,1,0.33333
https://openalex.org/I40034438,Universidade do Estado do Rio de Janeiro,power,2017,1,0.33333
https://openalex.org/I157394403,Baylor University,power,2017,1,0.33333
https://openalex.org/I149704539,Deakin University,power,2017,1,0.33333
https://openalex.org/I100005738,Brigham Young University,power,2017,1,0.33333
https://openalex.org/I121934306,Tufts University,power,2017,1,0.33333
https://openalex.org/I22188714,University of Prince Edward Island,power,2017,1,0.33333
https://openalex.org/I11923345,Wrocław University of Science and Technology,power,2017,1,0.33333
https://openalex.org/I118118575,New Jersey Institute of Technology,power,2017,1,0.33333
https://openalex.org/I4210086703,East Siberia State University of Technology and Management,power,2017,1,0.33333
