institution_id,institution_name,area,venue,year,pub_count,adjusted_count
https://openalex.org/I27837315,University of Michigan,flagship,nat-comms,2025,0,49.9743
https://openalex.org/I204730241,Université Paris Cité,flagship,nat-comms,2024,0,49.88088
https://openalex.org/I205783295,Cornell University,flagship,nat-comms,2025,0,49.65657
https://openalex.org/I47508984,Imperial College London,flagship,nat-comms,2022,0,49.65183
https://openalex.org/I168719708,City University of Hong Kong,flagship,nat-comms,2025,0,49.43513
https://openalex.org/I241749,University of Cambridge,flagship,nat-comms,2019,0,49.29076
https://openalex.org/I157485424,Korea Advanced Institute of Science and Technology,flagship,nat-comms,2025,0,49.15009
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,nat-comms,2022,0,49.09546
https://openalex.org/I4210165038,University of Chinese Academy of Sciences,flagship,nat-comms,2018,0,49.08351
https://openalex.org/I95457486,"University of California, Berkeley",flagship,pnas,2016,0,49.03349
https://openalex.org/I172675005,Nanyang Technological University,flagship,nat-comms,2025,0,48.9022
https://openalex.org/I223822909,Heidelberg University,flagship,nat-comms,2025,0,48.82215
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tap,2018,0,48.73929
https://openalex.org/I136199984,Harvard University,flagship,nature,2018,0,48.73447
https://openalex.org/I136199984,Harvard University,flagship,nat-comms,2016,0,48.7335
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,pnas,2020,0,48.56898
https://openalex.org/I36258959,University of California San Diego,flagship,nat-comms,2022,0,48.5392
https://openalex.org/I126520041,University of Science and Technology of China,flagship,nat-comms,2021,0,48.44981
https://openalex.org/I87445476,Xi'an Jiaotong University,powerelec,tpel,2024,0,48.44623
https://openalex.org/I97018004,Stanford University,photonics,cleo,2019,0,48.39786
https://openalex.org/I149594827,Xidian University,em_rf,tap,2024,0,48.37917
https://openalex.org/I200769079,Hong Kong University of Science and Technology,image,iccv,2025,0,48.3201
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,prl,2019,0,48.20994
https://openalex.org/I79576946,University of Pennsylvania,flagship,pnas,2020,0,48.08368
https://openalex.org/I183067930,Shanghai Jiao Tong University,image,cvpr,2024,0,48.0469
https://openalex.org/I74801974,The University of Tokyo,flagship,nat-comms,2021,0,48.03634
https://openalex.org/I97018004,Stanford University,flagship,nat-comms,2017,0,47.98844
https://openalex.org/I149594827,Xidian University,em_rf,tap,2025,0,47.97864
https://openalex.org/I45129253,University College London,flagship,nat-comms,2025,0,47.84746
https://openalex.org/I20231570,Peking University,sigproc,icassp,2025,0,47.84091
https://openalex.org/I36258959,University of California San Diego,flagship,nat-comms,2021,0,47.76948
https://openalex.org/I204983213,Harbin Institute of Technology,powerelec,tpel,2023,0,47.76548
https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,flagship,nat-comms,2025,0,47.75995
https://openalex.org/I95457486,"University of California, Berkeley",flagship,pnas,2022,0,47.67413
https://openalex.org/I145311948,Johns Hopkins University,flagship,nat-comms,2024,0,47.53365
https://openalex.org/I79576946,University of Pennsylvania,flagship,nat-comms,2024,0,47.41242
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,nat-comms,2019,0,47.35241
https://openalex.org/I36258959,University of California San Diego,flagship,pnas,2017,0,47.32557
https://openalex.org/I95457486,"University of California, Berkeley",flagship,nat-comms,2024,0,47.17559
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,nat-comms,2018,0,47.09994
https://openalex.org/I881766915,Nanjing University,flagship,nat-comms,2022,0,47.02155
https://openalex.org/I76130692,Zhejiang University,powerelec,tpel,2025,0,47.00714
https://openalex.org/I74801974,The University of Tokyo,flagship,nat-comms,2019,0,46.98035
https://openalex.org/I191208505,Xiamen University,flagship,nat-comms,2025,0,46.87226
https://openalex.org/I47508984,Imperial College London,flagship,nat-comms,2024,0,46.86366
https://openalex.org/I45129253,University College London,flagship,nat-comms,2024,0,46.85769
https://openalex.org/I36258959,University of California San Diego,flagship,pnas,2019,0,46.77434
https://openalex.org/I204983213,Harbin Institute of Technology,powerelec,tpel,2022,0,46.76944
https://openalex.org/I79576946,University of Pennsylvania,flagship,pnas,2019,0,46.70062
https://openalex.org/I74801974,The University of Tokyo,flagship,nat-comms,2018,0,46.69164
https://openalex.org/I20089843,Princeton University,flagship,pnas,2022,0,46.64708
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,pnas,2025,0,46.60578
https://openalex.org/I32971472,Yale University,flagship,pnas,2017,0,46.57114
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tmtt,2025,0,46.51982
https://openalex.org/I99065089,Tsinghua University,sigproc,icassp,2024,0,46.49863
https://openalex.org/I27837315,University of Michigan,flagship,nat-comms,2020,0,46.36408
https://openalex.org/I32971472,Yale University,flagship,pnas,2019,0,46.32249
https://openalex.org/I27837315,University of Michigan,flagship,nat-comms,2024,0,46.21576
